id;secteur;sous_secteur;code;nom;version;date_debut;date_fin
BAT-EQ-133vA17-1;BAT;EQ;BAT-EQ-133;Systèmes hydro-économes (France métropolitaine);A17-1;2015-01-01;
BAT-EQ-134vA58-2;BAT;EQ;BAT-EQ-134;Meuble frigorifique de vente performant avec groupe de production de froid intégré;A58-2;2015-01-01;
BAT-EQ-135vA65-2;BAT;EQ;BAT-EQ-135;Dispositif performant d'alimentation sans interruption;A65-2;2025-04-01;
BAT-SE-103vA19-1;BAT;SE;BAT-SE-103;Réglage des organes d'équilibrage d'une installation de chauffage à eau chaude;A19-1;2015-01-01;
BAT-SE-104vA31-1;BAT;SE;BAT-SE-104;Contrat de performance énergétique Services (CPE Services) Chauffage;A31-1;2019-07-31;
BAT-SE-105vA32-1;BAT;SE;BAT-SE-105;Abaissement de la température de retour vers un réseau de chaleur;A32-1;2020-01-10;
BAT-TH-102vA28-1;BAT;TH;BAT-TH-102;Chaudière collective haute performance énergétique;A28-1;2018-12-06;2025-01-01
BAT-TH-103vA31-1;BAT;TH;BAT-TH-103;Plancher chauffant hydraulique à basse température;A31-1;2020-01-10;
BAT-TH-104vA32-1;BAT;TH;BAT-TH-104;Robinet thermostatique;A32-1;2020-01-10;
BAT-TH-105vA32-1;BAT;TH;BAT-TH-105;Radiateur basse température pour un chauffage central;A32-1;2020-01-10;
BAT-TH-106vA20-1;BAT;TH;BAT-TH-106;Isolation d'un réseau hydraulique de chauffage;A20-1;2016-02-08;2018-04-01
BAT-TH-108vA22-1;BAT;TH;BAT-TH-108;Système de régulation par programmation d'intermittence;A22-1;2016-06-02;
BAT-TH-109vA54-3;BAT;TH;BAT-TH-109;Optimiseur de relance en chauffage collectif comprenant une fonction auto-adaptative;A54-3;2015-01-01;
BAT-TH-110vA15-1;BAT;TH;BAT-TH-110;Récupérateur de chaleur à condensation;A15-1;2015-01-01;
BAT-TH-111vA17-1;BAT;TH;BAT-TH-111;Chauffe-eau solaire collectif (France métropolitaine);A17-1;2015-01-01;
BAT-TH-112vA22-1;BAT;TH;BAT-TH-112;Système de variation électronique de vitesse sur un moteur asynchrone;A22-1;2016-06-02;
BAT-TH-113vA54-4;BAT;TH;BAT-TH-113;Pompe à chaleur de type air/eau ou eau/eau;A54-4;2015-01-01;
BAT-TH-115vA15-2;BAT;TH;BAT-TH-115;Climatiseur performant (France d'outre mer);A15-2;2015-01-01;
BAT-TH-116vA62-6;BAT;TH;BAT-TH-116;Système de gestion technique du bâtiment pour le chauffage, l'eau chaude sanitaire, le refroidissement/climatisation, l'éclairage et les auxiliaires;A62-6;2025-01-01;
BAT-TH-119vA20-1;BAT;TH;BAT-TH-119;Isolation d'un réseau hydraulique d'eau chaude sanitaire;A20-1;2016-02-08;2018-04-01
BAT-TH-121vA35-1;BAT;TH;BAT-TH-121;Chauffe-eau solaire (France d'outre mer);A35-1;2020-07-24;
BAT-TH-122vA22-1;BAT;TH;BAT-TH-122;Programmateur d'intermittence pour la climatisation (France d'outre-mer);A22-1;2016-06-02;
BAT-TH-125vA32-1;BAT;TH;BAT-TH-125;Ventilation mécanique simple flux à débit d'air constant ou modulé;A32-1;2020-01-10;
BAT-TH-126vA32-1;BAT;TH;BAT-TH-126;Ventilation mécanique double flux avec échangeur à débit d'air constant ou modulé;A32-1;2020-01-10;
BAT-TH-127vA45-4;BAT;TH;BAT-TH-127;Raccordement d'un bâtiment tertiaire à un réseau de chaleur;A45-4;2015-01-01;
BAT-TH-134vA22-1;BAT;TH;BAT-TH-134;Système de régulation sur un groupe de production de froid permettant d'avoir une haute pression flottante (France métropolitaine);A22-1;2016-06-02;
BAT-TH-135vA26-1;BAT;TH;BAT-TH-135;Système de régulation sur un groupe de production de froid permettant d'avoir une haute pression flottante (France d'outre-mer);A26-1;2017-07-26;
BAT-TH-139vA35-1;BAT;TH;BAT-TH-139;Système de récupération de chaleur sur un groupe de production de froid;A35-1;2020-07-24;
